대분류	분류	액터	기능 상세 요구사항	비고
시공/설계사	도급순위 및 이슈	사용자	시공사 도급순위와 현재 시점에서의 시공사별 이슈, 담당자 연락처 및 담당자별 특징을 확인할 수 있다.	
기업통합정보	기업 임차정보	사용자	다양한 조건을 통해 기업의 오피스/데이터센터/물류 임차 현황을 확인할 수 있다.	예: 5만 평 이상 오피스 입주 기업, 국내 500대 기업 임차 현황, 직원 1,000명 이상 기업 현황 등
기업통합정보	기업 세부 임차정보	사용자	특정 기업이 임차한 자산의 세부정보를 확인할 수 있다.	
기업통합정보	유형별 기업 형태	사용자	특정 기업유형에 따른 자산 환경 니즈를 확인할 수 있다.	기업 유형의 예: 법무법인, 컨설팅펌, 바이오기업, 테크기업
기업통합정보	기업별 니즈	사용자	국내 Top 100 기업에 대해, 각 기업이 처한 고유한 환경과 임차 니즈를 확인할 수 있다.	
기업통합정보	기업 담당자 정보	사용자	주요 기업들의 메인컨택포인트, 연락처, 해당 인물에 대한 현재 이슈 및 특이사항 등을 확인할 수 있다.	
복합/개발자산	매입/매각정보	사용자	3대권역 주요 자산의 매입/매각 히스토리와 현재 현황을 확인할 수 있다.	
투자자 정보	투자자 통합정보	사용자	LP 별 투자 현황 및 특이사항 등을 확인할 수 있다.	
마켓/섹터 정보	마켓/섹터 정보	사용자	마켓 및 섹터 정보를 확인할 수 있다.	
